HANDLE,p_address,c_address,p_lcra,p_lra,p_landBank,c_lra,p_typeSimple,c_typeDetail,c_typeSimple,compare_type,p_low
10019000015,1100 - 1118 N LEONOR K SULLIVAN BLVD,1101-17 N LEONOR K SULLIVAN BLVD,TRUE,FALSE,TRUE,TRUE,unknown,"vacant lot, confirmed",lot,unmatched,TRUE
10020000030,10 ASHLEY ST,10 ASHLEY ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10020000040,1205 - 1215 LEWIS ST,1205-15 LEWIS ST,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
10023000025,1030 N 2ND ST,1030 N 2ND ST,TRUE,FALSE,TRUE,TRUE,unknown,"vacant lot, confirmed",lot,unmatched,TRUE
10041000040,716 - 718 S 2ND ST,716-8 S 2ND ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10041000070,704 S 2ND ST,704 S 2ND ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10041000080,700 S 2ND ST,700 S 2ND ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10041000170,714 S 2ND ST,714 S 2ND ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10044040050,900 - 904 S 2ND ST,900-4 S 2ND ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10050000105,215 - 829 LOMBARD ST,215-9 LOMBARD ST,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
10051000035,757 S 2ND ST,757 S 2ND ST,FALSE,TRUE,TRUE,TRUE,building,"vacant building, confirmed",building,matched,TRUE
10052000010,217 - 231 CEDAR ST,217-31 CEDAR ST,FALSE,FALSE,FALSE,FALSE,building,"vacant building, possible",building,matched,TRUE
10052000050,210 PLUM ST,210 PLUM ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10052000080,701 - 703 S 2ND ST,701-3 S 2ND ST,FALSE,TRUE,TRUE,TRUE,unknown,"vacant lot, confirmed",lot,unmatched,TRUE
10052000100,707 S 2ND ST,707 S 2ND ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10052000100,707 S 2ND ST,707 S 2ND ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10075000015,818 - 822 S 4TH ST,818-22 S 4TH ST,FALSE,FALSE,FALSE,FALSE,lot,"vacant building, possible",building,unmatched,TRUE
10117000015,305 - 520 N BROADWAY,305-23 N BROADWAY,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
10118000015,400 - 531 N 6TH ST,501-31 LOCUST ST,TRUE,FALSE,TRUE,TRUE,unknown,"vacant lot, confirmed",lot,unmatched,TRUE
10118000015,400 - 531 N 6TH ST,501-31 LOCUST ST,TRUE,FALSE,TRUE,TRUE,unknown,"vacant lot, confirmed",lot,unmatched,TRUE
10118000016,400 F - 428 F N 6TH ST,400-28F N 6TH ST,TRUE,FALSE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10124000010,628 - 710 CONVENTION PLAZA,628-30 CONVENTION PLAZA,TRUE,FALSE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10124000020,608 - 624 CONVENTION PLAZA,608-24 CONVENTION PLAZA,TRUE,FALSE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10124000030,715 R N 6TH ST,715R N 6TH ST,TRUE,FALSE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
10124000040,719 N 6TH ST,719 N 6TH ST,TRUE,FALSE,TRUE,TRUE,unknown,"vacant lot, confirmed",lot,unmatched,TRUE
10124000050,717 N 6TH ST,717 N 6TH ST,TRUE,FALSE,TRUE,TRUE,unknown,"vacant lot, confirmed",lot,unmatched,TRUE
