HANDLE,p_address,p_lcra,p_lra,p_landBank,p_typeSimple,p_low
10001000005,626 S 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10001000010,616 - 622 S 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10001000032,619 S LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10014000005,606 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10014000010,610 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10014000020,612 - 622 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10014000035,10 LUCAS AVE,FALSE,FALSE,FALSE,lot,TRUE
10014000040,621 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10014000050,619 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10014000060,617 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10014000070,611 - 615 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10014000080,609 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10015000010,700 - 714 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10015000095,11 LUCAS AVE,FALSE,FALSE,FALSE,lot,TRUE
10016000020,806 - 808 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10016000025,810 - 812 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10016000045,814 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10016000055,811 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10016000060,809 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10016000101,801 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10016000110,812 1/2 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10017000080,901 - 945 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10018000010,1000 - 1002 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10018000020,1004 - 1008 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10018000030,1012 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10018000050,1020 - 1022 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10018000065,1024 - 1026 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10018000080,1014 R N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10018000086,1003 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10018000087,1009 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10018000088,1005 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10018000089,1007 N LEONOR K SULLIVAN BLVD,FALSE,FALSE,FALSE,lot,TRUE
10018000091,8 R CARR ST,FALSE,FALSE,FALSE,lot,TRUE
10018000092,8 CARR ST,FALSE,FALSE,FALSE,lot,TRUE
10019000045,1114 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10019000055,1110 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10019000065,1100 - 1102 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10020000020,1206 - 1212 N 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10020000055,1201 - 1203 LEWIS ST,FALSE,FALSE,FALSE,lot,TRUE
10021000020,122 ASHLEY ST,FALSE,FALSE,FALSE,building,FALSE
10021000030,121 BIDDLE ST,FALSE,FALSE,FALSE,lot,TRUE
10022000015,158 BIDDLE ST,FALSE,FALSE,FALSE,lot,TRUE
10022000017,122 BIDDLE ST,FALSE,FALSE,FALSE,lot,TRUE
10022000025,101 - 1122 CARR ST,FALSE,FALSE,FALSE,lot,TRUE
10024000015,1000 N 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10025000015,820 N 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10025000045,100 - 819 DR MARTIN LUTHER KING DR,FALSE,FALSE,FALSE,lot,TRUE
10027000050,606 N 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10027000060,610 N 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10027000080,618 N 2ND ST,FALSE,FALSE,FALSE,building,FALSE
10040000010,100 - 198 POPLAR ST,FALSE,FALSE,FALSE,lot,TRUE
10040000040,193 - 199 PLUM ST,FALSE,FALSE,FALSE,lot,TRUE
10041000010,119 - 732 CEDAR ST,FALSE,FALSE,FALSE,lot,TRUE
10041000020,722 - 726 S 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10041000090,126 PLUM ST,FALSE,FALSE,FALSE,lot,TRUE
10041000110,707 S 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10041000115,120 PLUM ST,FALSE,FALSE,FALSE,lot,TRUE
10041000120,711 S 1ST ST,FALSE,FALSE,FALSE,lot,FALSE
10041000130,719 - 727 S 1ST ST,FALSE,FALSE,FALSE,lot,TRUE
10041000150,109 CEDAR ST,FALSE,FALSE,FALSE,lot,TRUE
10041000160,720 R S 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10043000020,101 - 826 LOMBARD ST,FALSE,FALSE,FALSE,lot,TRUE
10044030020,950 RISLEY ST,FALSE,FALSE,FALSE,lot,TRUE
10044040030,908 - 912 S 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10044040080,905 - 911 RISLEY ST,FALSE,FALSE,FALSE,lot,TRUE
10047000040,1203 - 1243 MERCHANT ST,FALSE,FALSE,FALSE,lot,TRUE
10048000020,298 CHOUTEAU AVE,FALSE,FALSE,FALSE,lot,TRUE
10048000050,200 - 210 CHOUTEAU AVE,FALSE,FALSE,FALSE,lot,TRUE
10048000060,1017 S 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10048000070,1023 S 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10049000010,226 LOMBARD ST,FALSE,FALSE,FALSE,lot,TRUE
10049000050,915 S 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10049000070,211 - 213 CHOUTEAU AVE,FALSE,FALSE,FALSE,lot,TRUE
10049000080,219 CHOUTEAU AVE,FALSE,FALSE,FALSE,building,FALSE
10049000090,225 CHOUTEAU AVE,FALSE,FALSE,FALSE,lot,TRUE
10049000100,229 CHOUTEAU AVE,FALSE,FALSE,FALSE,lot,TRUE
10049000110,214 R LOMBARD ST,FALSE,FALSE,FALSE,lot,TRUE
10050000010,806 - 810 S 3RD ST,FALSE,FALSE,FALSE,lot,TRUE
10050000040,800 - 802 S 3RD ST,FALSE,FALSE,FALSE,lot,TRUE
10050000050,250 GRATIOT ST,FALSE,FALSE,FALSE,lot,TRUE
10050000125,221 - 231 LOMBARD ST,FALSE,FALSE,FALSE,lot,TRUE
10050000135,812 - 824 S 3RD ST,FALSE,FALSE,FALSE,lot,TRUE
10051000010,750 S 3RD ST,FALSE,FALSE,FALSE,lot,TRUE
10051000020,220 - 228 CEDAR ST,FALSE,FALSE,FALSE,lot,TRUE
10052000040,214 - 230 PLUM ST,FALSE,FALSE,FALSE,lot,TRUE
10052000060,208 PLUM ST,FALSE,FALSE,FALSE,lot,TRUE
10052000070,206 PLUM ST,FALSE,FALSE,FALSE,lot,TRUE
10052000090,705 S 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10053000010,248 POPLAR ST,FALSE,FALSE,FALSE,lot,TRUE
10053000020,601 - 697 S 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10066000200,608 1/2 LUMIERE PLACE BLVD,FALSE,FALSE,FALSE,lot,TRUE
10067000021,702 LUMIERE PLACE BLVD,FALSE,FALSE,FALSE,lot,TRUE
10067000102,701 - 703 N 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10068000030,820 LUMIERE PLACE BLVD,FALSE,FALSE,FALSE,lot,TRUE
10068000035,820 R LUMIERE PLACE BLVD,FALSE,FALSE,FALSE,lot,TRUE
10070000018,218 CARR ST,FALSE,FALSE,FALSE,lot,TRUE
10070000020,216 CARR ST,FALSE,FALSE,FALSE,lot,TRUE
10070000046,900 - 1007 N 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10071030045,200 F - 210 F BIDDLE ST,FALSE,FALSE,FALSE,lot,TRUE
10071030065,1105 - 1107 N 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10071030090,1101 - 1103 N 2ND ST,FALSE,FALSE,FALSE,lot,TRUE
10071030500,220 - 1136 BIDDLE ST,FALSE,FALSE,FALSE,lot,TRUE
10071040045,230 BIDDLE ST,FALSE,FALSE,FALSE,lot,TRUE
10071040048,1125 - 1131 COLLINS ST,FALSE,FALSE,FALSE,lot,TRUE
10073030045,1100 - 1112 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10073030055,1006 S 4TH ST,FALSE,FALSE,FALSE,building,FALSE
10073030065,300 - 316 CHOUTEAU AVE,FALSE,FALSE,FALSE,lot,TRUE
10073030070,1001 - 1121 S 3RD ST,FALSE,FALSE,FALSE,lot,TRUE
10073030075,315 - 319 CONVENT ST,FALSE,FALSE,FALSE,lot,TRUE
10073030085,1114 R S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10073040010,1000 S BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10074000010,316 - 318 LOMBARD ST,FALSE,FALSE,FALSE,lot,TRUE
10074000020,306 - 921 LOMBARD ST,FALSE,FALSE,FALSE,lot,TRUE
10074000025,313 CHOUTEAU AVE,FALSE,FALSE,FALSE,lot,TRUE
10074000030,916 - 918 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10074000040,910 - 914 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10074000050,906 - 908 S 4TH ST,FALSE,FALSE,FALSE,building,FALSE
10074000060,902 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10074000070,900 S 4TH ST,FALSE,FALSE,FALSE,building,TRUE
10074000080,912 R S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10075000025,800 - 816 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10075000050,301 - 315 LOMBARD ST,FALSE,FALSE,FALSE,lot,TRUE
10076000010,320 CEDAR ST,FALSE,FALSE,FALSE,lot,TRUE
10076000030,300 - 316 CEDAR ST,FALSE,FALSE,FALSE,lot,TRUE
10076000060,754 S 4TH ST,FALSE,FALSE,FALSE,building,FALSE
10076000070,750 S 4TH ST,FALSE,FALSE,FALSE,building,FALSE
10076000080,744 S 4TH ST,FALSE,FALSE,FALSE,building,FALSE
10076000110,736 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10077000070,720 - 722 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10077000100,700 - 714 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10077000110,701 - 735 S 3RD ST,FALSE,FALSE,FALSE,lot,TRUE
10077000120,319 CEDAR ST,FALSE,FALSE,FALSE,lot,TRUE
10084000020,11 F S MEMORIAL DR,FALSE,FALSE,FALSE,lot,TRUE
10086000020,101 - 199 N MEMORIAL DR,FALSE,FALSE,FALSE,lot,TRUE
10093000010,800 - 898 N 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10094000020,812 - 816 N BROADWAY,FALSE,FALSE,FALSE,lot,FALSE
10094000030,826 N BROADWAY,FALSE,FALSE,FALSE,lot,FALSE
10095000090,405 - 718 LUCAS AVE,FALSE,FALSE,FALSE,building,FALSE
10099000025,318 N BROADWAY,FALSE,FALSE,FALSE,lot,FALSE
10099000065,413 R OLIVE ST,FALSE,FALSE,FALSE,lot,TRUE
10109000020,626 - 634 S BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10109000025,612 S BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10109000030,608 - 610 S BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10117000070,301 - 509 N BROADWAY,FALSE,FALSE,FALSE,building,FALSE
10123000030,600 - 910 COLE ST,FALSE,FALSE,FALSE,lot,TRUE
10125008151,603 - 613 WASHINGTON AVE,FALSE,FALSE,FALSE,building,FALSE
10129000010,622 OLIVE ST,FALSE,FALSE,FALSE,lot,TRUE
10129000020,620 OLIVE ST,FALSE,FALSE,FALSE,lot,TRUE
10129000030,614 - 616 OLIVE ST,FALSE,FALSE,FALSE,lot,TRUE
10129000150,216 - 220 N 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10129000160,222 - 224 N 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10131000010,600 - 612 CHESTNUT ST,FALSE,FALSE,FALSE,lot,FALSE
10137040010,411 - 421 DR MARTIN LUTHER KING DR,FALSE,FALSE,FALSE,lot,TRUE
10137040020,900 - 912 N BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10137040100,914 - 936 N BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10137040110,900 N 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10141000011,1000 - 1032 N 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10142000010,1000 - 1016 N BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10143000010,300 - 1150 BIDDLE ST,FALSE,FALSE,FALSE,lot,TRUE
10144000010,1110 - 1132 N 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10144000020,1101 - 1139 N BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10144000050,1141 N BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10145000010,627 - 1135 CARR ST,FALSE,FALSE,FALSE,lot,FALSE
10147000010,638 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10147000071,600 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10147000081,615 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10147000082,619 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10147000120,619 CERRE ST,FALSE,FALSE,FALSE,lot,TRUE
10147000130,627 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10148000015,734 - 740 S 7TH ST,FALSE,FALSE,FALSE,lot,FALSE
10148000065,701 R S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10148000071,701 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10149000020,850 - 858 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10149000080,600 - 809 GRATIOT ST,FALSE,FALSE,FALSE,lot,TRUE
10149000090,811 - 817 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10149000110,819 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10149000120,825 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10149000130,829 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10149000140,851 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10151000010,1146 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10151000050,1139 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10151000070,607 HICKORY ST,FALSE,FALSE,FALSE,lot,TRUE
10151000080,609 HICKORY ST,FALSE,FALSE,FALSE,lot,TRUE
10151000090,611 HICKORY ST,FALSE,FALSE,FALSE,lot,TRUE
10152000040,1226 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10152000050,1224 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10152000060,1222 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10152000070,1218 - 1220 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10152000080,1216 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10152000090,1212 - 1214 S 7TH ST,FALSE,FALSE,FALSE,lot,TRUE
10152000120,610 HICKORY ST,FALSE,FALSE,FALSE,lot,TRUE
10152000130,608 HICKORY ST,FALSE,FALSE,FALSE,lot,TRUE
10152000140,1201 - 1203 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10152000185,1217 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10153000010,1211 S BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10153050010,500 - 506 HICKORY ST,FALSE,FALSE,FALSE,lot,TRUE
10153050020,1201 S BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10154000030,1205 S 3RD ST,FALSE,FALSE,FALSE,lot,TRUE
10155000015,1148 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10155000025,1134 - 1142 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10155000040,1100 - 1116 S 6TH ST,FALSE,FALSE,FALSE,building,TRUE
10155000095,1151 S BROADWAY,FALSE,FALSE,FALSE,lot,TRUE
10157000010,401 CHOUTEAU AVE,FALSE,FALSE,FALSE,lot,TRUE
10157000025,913 - 948 S 4TH ST,FALSE,FALSE,FALSE,lot,TRUE
10159000010,838 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10159000015,832 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
10159000020,828 S 6TH ST,FALSE,FALSE,FALSE,lot,TRUE
