HANDLE,c_address,c_lra,c_typeDetail,c_typeSimple
10322000020,1918-34 N BROADWAY,FALSE,"vacant building, confirmed",building
10346000250,927 TYLER ST,FALSE,"vacant building, confirmed",building
10360000030,1120 MONTGOMERY ST,FALSE,"vacant building, confirmed",building
10685000040,710 ALLEN AV,FALSE,"vacant building, confirmed",building
11041000060,3200 LOCUST ST,FALSE,"vacant building, confirmed",building
11239000280,3919 N 20TH ST,FALSE,"vacant building, confirmed",building
11352000320,2653 ANN AV,FALSE,"vacant building, confirmed",building
11380000020,2754 ARMAND PL,FALSE,"vacant building, confirmed",building
11419000340,2835 MISSOURI AV,FALSE,"vacant building, confirmed",building
11425050160,2806 MAGNOLIA AV,FALSE,"vacant building, confirmed",building
11471000140,3119 NEBRASKA AV,FALSE,"vacant building, confirmed",building
11473000020,3130 OREGON AV,FALSE,"vacant building, confirmed",building
11475000100,3160 NEBRASKA AV,FALSE,"vacant building, confirmed",building
11476000170,3143 NEBRASKA AV,FALSE,"vacant building, possible",building
11511000210,2800 UTAH ST,FALSE,"vacant building, confirmed",building
11512000090,3224 OREGON AV,FALSE,"vacant building, confirmed",building
11517000380,3253 TEXAS AV,FALSE,"vacant building, confirmed",building
11570000200,3523 IOWA AV,FALSE,"vacant building, confirmed",building
11617000060,3640 LOUISIANA AV,FALSE,"vacant building, confirmed",building
11625000130,3710 MICHIGAN AV,FALSE,"vacant building, possible",building
11627000045,3830 MINNESOTA AV,FALSE,"vacant building, possible",building
11627000070,3822 MINNESOTA AV,FALSE,"vacant building, confirmed",building
11818000405,2743 CAROLINE ST,FALSE,"vacant building, confirmed",building
11887000190,1900 COLEMAN ST,FALSE,"vacant building, confirmed",building
10465030340,945 PARK AV,FALSE,"vacant building, confirmed",building
10484000320,1302 MISSISSIPPI AV,FALSE,"vacant building, confirmed",building
10581000030,1300-6 N 7TH ST,FALSE,"vacant building, confirmed",building
10793000160,2615 S 11TH ST,FALSE,"vacant building, confirmed",building
10812000060,1300-2 SIDNEY ST,FALSE,"vacant building, confirmed",building
11070000200,2901 PARNELL ST,FALSE,"vacant building, confirmed",building
11071000025,2560 W SULLIVAN AV,FALSE,"vacant building, confirmed",building
11076000240,2547-9 UNIVERSITY ST,FALSE,"vacant building, confirmed",building
11115000100,1451-7 BENTON ST,FALSE,"vacant building, confirmed",building
11130000080,2900 N 14TH ST,FALSE,"vacant building, confirmed",building
11152000075,3117-9 N 14TH ST,FALSE,"vacant building, confirmed",building
11254000440,1625-7 CARROLL ST,FALSE,"vacant building, confirmed",building
11318000185,2702 GEYER AV,FALSE,"vacant building, confirmed",building
11348000175,2016-8 S JEFFERSON AV,FALSE,"vacant building, confirmed",building
11403000390,2207 SIDNEY ST,FALSE,"vacant building, confirmed",building
